"transaction_id","lead_id","agent_id","property_id","sale_date","sale_price","payment_method","commission_amount","commission_rate","original_property_price","governorate_code"
TRANS000001,LEAD000004,AGT038_MA,PROP014489,2025-02-20,4675912.00,Installment,173008.7400,0.0370,3559628.0000,Mansoura
TRANS000002,LEAD000010,AGT024_AW,PROP002758,2025-03-07,4909261.00,Installment,176733.4000,0.0360,3662581.0000,Aswan
TRANS000003,LEAD000015,AGT039_MA,PROP015896,2025-03-14,3237965.00,Bank Transfer,119804.7000,0.0370,2395058.0000,Mansoura
TRANS000004,LEAD000016,AGT069_SZ,PROP006137,2024-07-15,14907183.00,Cash,685730.4200,0.0460,10385647.0000,Sheikh Zayed
TRANS000005,LEAD000027,AGT007_GZ,PROP015655,2024-10-28,29181290.00,Bank Transfer,1225614.1800,0.0420,21488837.0000,Giza
TRANS000006,LEAD000031,AGT026_MN,PROP001726,2025-06-30,1710364.00,Installment,56442.0100,0.0330,1285456.0000,Al Minya
TRANS000007,LEAD000052,AGT004_CA,PROP007493,2025-05-12,2864302.00,Cash,128893.5900,0.0450,2250911.0000,Cairo
TRANS000008,LEAD000053,AGT055_IS,PROP007641,2024-10-17,5768011.00,Installment,236488.4500,0.0410,4078684.0000,Ismailia
TRANS000009,LEAD000068,AGT009_AL,PROP000484,2025-01-17,8107431.00,Installment,308082.3800,0.0380,6648596.0000,Alexandria
TRANS000010,LEAD000073,AGT008_GZ,PROP006265,2025-03-21,24794472.00,Cash,1041367.8200,0.0420,16730447.0000,Giza
TRANS000011,LEAD000082,AGT031_SO,PROP007577,2024-12-13,7741532.00,Installment,263212.0900,0.0340,5687816.0000,Sohag
TRANS000012,LEAD000088,AGT011_AL,PROP006811,2024-08-13,8975837.00,Bank Transfer,341081.8100,0.0380,6482541.0000,Alexandria
TRANS000013,LEAD000098,AGT039_MA,PROP005864,2025-04-23,2988666.00,Bank Transfer,110580.6400,0.0370,2335412.0000,Mansoura
TRANS000014,LEAD000101,AGT063_SU,PROP011032,2024-08-29,5443664.00,Installment,217746.5600,0.0400,4228438.0000,Suez
TRANS000015,LEAD000112,AGT011_AL,PROP021328,2025-06-30,1867882.00,Cash,70979.5200,0.0380,1527039.0000,Alexandria
TRANS000016,LEAD000115,AGT061_SU,PROP024744,2024-12-12,5611562.00,Bank Transfer,224462.4800,0.0400,4537180.0000,Suez
TRANS000017,LEAD000117,AGT015_AS,PROP015662,2025-06-30,4123451.00,Installment,144320.7800,0.0350,3380135.0000,Asyut
TRANS000018,LEAD000120,AGT063_SU,PROP002070,2025-02-19,7037663.00,Cash,281506.5200,0.0400,5498657.0000,Suez
TRANS000019,LEAD000124,AGT061_SU,PROP008931,2025-06-26,5207539.00,Bank Transfer,208301.5600,0.0400,3609865.0000,Suez
TRANS000020,LEAD000127,AGT022_AW,PROP015156,2025-03-05,18316840.00,Cash,659406.2400,0.0360,12475579.0000,Aswan
TRANS000021,LEAD000128,AGT071_SZ,PROP004081,2024-10-18,16643619.00,Cash,765606.4700,0.0460,12235943.0000,Sheikh Zayed
TRANS000022,LEAD000131,AGT067_NC,PROP022550,2025-05-26,9967602.00,Installment,478444.9000,0.0480,7304357.0000,New Administrative Capital
TRANS000023,LEAD000134,AGT053_IS,PROP024818,2025-06-30,859053.00,Cash,35221.1700,0.0410,715102.0000,Ismailia
TRANS000024,LEAD000135,AGT059_PS,PROP016303,2025-01-14,1766192.00,Cash,75946.2600,0.0430,1304850.0000,Port Said
TRANS000025,LEAD000139,AGT016_AS,PROP012613,2025-04-06,1857089.00,Bank Transfer,64998.1200,0.0350,1485883.0000,Asyut
TRANS000026,LEAD000140,AGT002_CA,PROP013583,2025-04-20,11662480.00,Bank Transfer,524811.6000,0.0450,9099301.0000,Cairo
TRANS000027,LEAD000145,AGT003_CA,PROP013079,2025-05-23,26701124.00,Installment,1201550.5800,0.0450,17687793.0000,Cairo
TRANS000028,LEAD000147,AGT054_IS,PROP010786,2025-02-22,3810262.00,Installment,156220.7400,0.0410,3034605.0000,Ismailia
TRANS000029,LEAD000158,AGT046_ZA,PROP004746,2025-04-09,1840393.00,Installment,66254.1500,0.0360,1374000.0000,Zagazig
TRANS000030,LEAD000162,AGT015_AS,PROP000447,2024-08-05,7456935.00,Cash,260992.7300,0.0350,5221058.0000,Asyut
TRANS000031,LEAD000164,AGT019_LU,PROP007857,2025-06-30,3278482.00,Installment,131139.2800,0.0400,2431316.0000,Luxor
TRANS000032,LEAD000190,AGT030_SO,PROP001292,2024-10-27,2425315.00,Cash,82460.7100,0.0340,2015945.0000,Sohag
TRANS000033,LEAD000201,AGT082_SH,PROP022432,2024-08-24,7219892.00,Cash,339334.9200,0.0470,5397830.0000,Sharm El Sheikh
TRANS000034,LEAD000210,AGT041_TA,PROP007671,2024-10-04,4806280.00,Installment,168219.8000,0.0350,3575054.0000,Tanta
TRANS000035,LEAD000212,AGT056_IS,PROP010521,2025-05-08,1052462.00,Cash,43150.9400,0.0410,866562.0000,Ismailia
TRANS000036,LEAD000233,AGT009_AL,PROP002503,2025-03-05,5275947.00,Cash,200485.9900,0.0380,3772089.0000,Alexandria
TRANS000037,LEAD000242,AGT044_TA,PROP008812,2024-09-04,2397760.00,Bank Transfer,83921.6000,0.0350,1797529.0000,Tanta
TRANS000038,LEAD000253,AGT057_PS,PROP002462,2024-09-18,2790917.00,Installment,120009.4300,0.0430,2148815.0000,Port Said
TRANS000039,LEAD000254,AGT016_AS,PROP009262,2025-05-09,4204086.00,Installment,147143.0100,0.0350,3193438.0000,Asyut
TRANS000040,LEAD000268,AGT075_NO,PROP020539,2024-09-04,20527049.00,Cash,903190.1600,0.0440,14263823.0000,North Coast
TRANS000041,LEAD000271,AGT012_AL,PROP011520,2025-02-11,15153734.00,Bank Transfer,575841.8900,0.0380,11798293.0000,Alexandria
TRANS000042,LEAD000283,AGT040_MA,PROP016444,2024-12-21,6530708.00,Bank Transfer,241636.2000,0.0370,4703447.0000,Mansoura
TRANS000043,LEAD000293,AGT020_LU,PROP010328,2025-04-28,9365378.00,Bank Transfer,374615.1200,0.0400,6490991.0000,Luxor
TRANS000044,LEAD000314,AGT035_QE,PROP018345,2025-05-17,3984694.00,Installment,127510.2100,0.0320,2931367.0000,Qena
TRANS000045,LEAD000320,AGT034_QE,PROP006947,2025-05-28,3467530.00,Installment,110960.9600,0.0320,2547243.0000,Qena
TRANS000046,LEAD000326,AGT057_PS,PROP008528,2025-05-06,4261851.00,Bank Transfer,183259.5900,0.0430,3357544.0000,Port Said
TRANS000047,LEAD000332,AGT059_PS,PROP023213,2024-12-06,2475211.00,Cash,106434.0700,0.0430,2050382.0000,Port Said
TRANS000048,LEAD000338,AGT019_LU,PROP019153,2025-06-28,5900530.00,Bank Transfer,236021.2000,0.0400,4577469.0000,Luxor
TRANS000049,LEAD000349,AGT076_NO,PROP004168,2024-09-14,6466775.00,Installment,284538.1000,0.0440,4791881.0000,North Coast
